entity_name,dba_name,street_number,street_name,city,zip_code,county,borough,square_footage,location
FAMILY GRILL 1 CORP,FAMILY GRILL 1,1712,UNIVERSITY AVE,BRONX,10453,BRONX,Bronx,1300,
TASTY BITES DELI INC,TASTY BITES DELI,1560,GRAND CONCOURSE,BRONX,10457,BRONX,Bronx,1900,
EL SABOR CHAPIN CORP,EL SABOR CHAPIN,1484,WESTCHESTER AVE,BRONX,10472,BRONX,Bronx,1000,
JUAN DIAZ MARTINEZ & MARGARITO CITLAME P,DELI TAQUERIA XOCHITLALLI 2,680,ALLERON AVENUE,BRONX,10467,BRONX,Bronx,,
R&R CORTES DE PESCADO CORP,R&R CORTES DE PESCADO,301,MORRIS AVE ##,BRONX,10451,BRONX,Bronx,100,
ELY MOUNA INC,ELY MOUNA,3925,WHITE PLAINS RD,BRONX,10466,BRONX,Bronx,,
BINC FOOD CORP,BINC & BEYOND UNIVERSAL MARKET,1346,E GUNHILL RD,BRONX,10469,BRONX,Bronx,800,
Q GOURMET DELI CORP,Q GOURMET DELI,1798,WESTCHESTER AVE ####,BRONX,10472,BRONX,Bronx,1300,
PRINCE GROCERY STORE CORP,PRINCE GROCERY STORE,237,EAST 203RD ST ####,BRONX,10458,BRONX,Bronx,1000,
PRINCE DELI & GROCERY CORP 1,PRINCE DELI & GROCERY 1,211,ST ANNS AVE,BRONX,10454,BRONX,Bronx,1000,
2 EAST BURNSIDE KING DELI INC,2 EAST BURNSIDE KING DELI,2,EAST BURNSIDE AVE,BRONX,10453,BRONX,Bronx,1400,
HEALTHY 1 DELI CORP,HEALTHY 1 DELI,4521,3RD AVE,BRONX,10457,BRONX,Bronx,1500,
QUIK STOP DELI CORP,QUIK STOP DELI,3401,OLINVILLE AVE,BRONX,10467,BRONX,Bronx,600,
MACE DELI & GRILL INC,MACE DELI & GRILL,2500,WHITE PLAINS RD ##,BRONX,10467,BRONX,Bronx,1400,
ASHA GROCERY & HALAL MEAT INC,ASHA GROCERY & HALAL MEAT,3110,BAINBRIDGE AVE ####,BRONX,10467,BRONX,Bronx,,
CITY STAR MINI MARKET CORP I,CITY STAR MINI MARKET,1203,WHITE PLAINS RD  ####,BRONX,10472,BRONX,Bronx,1200,
MOMS ANGEL KISSES CORP,SUGAR GIRL BAKERY,3071,BAILEY AVE,BRONX,10463,BRONX,Bronx,1500,
1811 DISCOUNT INC,1811 DISCOUNT,1811,WHITE PLAINS RD,BRONX,10462,BRONX,Bronx,,
TAYLOR MINI MARKET CORP,TAYLOR MINI MARKET,1703,TAYLOR AVE,BRONX,10460,BRONX,Bronx,,
ORGANIC DELI & CONVENIENCE CORP,ORGANIC DELI & CONVENIENCE,3124,TREMONT AVE ####,BRONX,10461,BRONX,Bronx,1200,
LUS LICENSING LLC,LIDL #1574,700,EXTERIOR STREET,BRONX,10451,BRONX,Bronx,10000,
NEW BEST FISH MARKET INC,NEW BEST FISH MARKET,422A,WESTCHESTER AVE,BRONX,10455,BRONX,Bronx,1200,
ALDI INC,ALDI #153,4720,THIRD AVE,BRONX,10458,BRONX,Bronx,,
OS DELI & GROCERY CORP,OS DELI & GROCERY,99,E 198TH STREET,BRONX,10468,BRONX,Bronx,1000,
CRESTON CONVENIENCE & MORE CORP,CRESTON CONVENIENCE & MORE,2449,CRESTON AVE,BRONX,10468,BRONX,Bronx,,
IZZY GOURMET DELI CORP,IZZY GOURMET DELI,2481,"CROTONA AVE, STORE #4",BRONX,10458,BRONX,Bronx,,
PRICELESS DISCOUNT CORP,PRICELESS DISCOUNT,125,W KINGSBRIDGE RD ####,BRONX,10468,BRONX,Bronx,1800,
BAINBRIDGE FISH MARKET CORP,BAINBRIDGE FISH MARKET,3163,BAINBRIDGE AVE ##,BRONX,10467,BRONX,Bronx,1200,
STAY COOL GOURMET DELI CORP,STAY COOL GORUMET DELI,69,BRUCKNER BLVD,BRONX,10454,BRONX,Bronx,1500,
CHANA DELI GROCERY CORP,CHANA DELI GROCERY,2386,WEBSTER AVE,BRONX,10458,BRONX,Bronx,,
JUNIOR MARKET CORP,BENS MARKET,19,"KNOLLS CRESCENT, STORE B",BRONX,10463,BRONX,Bronx,,
EATHUB DELI INCC,EATHUB DELI,1838,WESTCHESTER AVE,BRONX,10472,BRONX,Bronx,1200,
NEW FORDHAM MEAT MARKET CORP,NEW FORDHAM MEAT MARKET,91,W FORDHAM RD #8,BRONX,10468,BRONX,Bronx,1100,
99C B AND K BLESSING CORP,B AND K BLESSING,512,EAST 149 STREET,BRONX,10455,BRONX,Bronx,1000,
1 FORDHAM CONVENIENCE CORP,1 FORDHAM CONVENIENCE,605,B EAST 187TH STREET,BRONX,10458,BRONX,Bronx,650,
VARIEDADES DE MI CULTURA EBENEZER CORP,VARIEDADES DE MI CULTURA EBENEZER,1087-1093,SOUTHERN BLVD,BRONX,10459,BRONX,Bronx,,
PRIME GROCERY AND VEGETABLE CORP,PRIME GROCERY AND VEGETABLE,145,E GUN HILL ROAD,BRONX,10467,BRONX,Bronx,,
BRIELLA DELI & GROCERY CORP,BRIELLA DELI & GROCERY,1420,GRAND CONCOURSE ####,BRONX,10456,BRONX,Bronx,1600,
MEGA STAR DISCOUNT CORP,MEGA STAR DISCOUNT,1509,WESTCHESTER AVE ####,BRONX,10472,BRONX,Bronx,,
J&J DELI GROCERY STORE CORP,J&J DELI GROCERY STORE,699,BECK STREET ##,BRONX,10455,BRONX,Bronx,1000,
ZEEDAN FOODS INC,ZEEDAN FOODS,1455,UNIONPORT RD ##,BRONX,10462,BRONX,Bronx,,
HALAL GYRO KING 3 INC,HALAL GYRO KING 3,319,E 204 STREET,BRONX,10467,BRONX,Bronx,,
LEGEND DELI GROCERY CORP,LEGEND DELI GROCERY,282,E GUN HILL RD,BRONX,10467,BRONX,Bronx,1100,
UNION MEATS MARKET INC,UNION MEATS MARKET,810,E 180TH STREET,BRONX,10460,BRONX,Bronx,,
183 FISH MARKET CORP,183 FISH MARKET,7,W 183RD ST ####,BRONX,10453,BRONX,Bronx,1300,
53W 167 VARIETY 99 CENT DISCOUNT STORE,AH VARIETY DISCOUNT STORE,53,W 167 ST ####,BRONX,10452,BRONX,Bronx,1800,
LEILE DELI CORP,LEILE DELI CORP,486,E 138TH STREET ####,BRONX,10454,BRONX,Bronx,900,
444 FUEL CORP,444 FUEL,444,SOUNDVIEW AVE,BRONX,10473,BRONX,Bronx,,
MOE GOURMET SHOP DELI & GRILL INC,MOE GOURMET SHOP DELI & GRILL,610,CASTLE HILL AVE ####,BRONX,10473,BRONX,Bronx,,
MAARS BROADWAY DISCOUNT KING CORP,MAARS BROADWAY DISCOUNT KING,5657A,BROADWAY FRONT A,BRONX,10463,BRONX,Bronx,2300,
DRAMMEH LLC,SAMA PARADISE MARKET,3840,WHITEPLAINS ROAD,BRONX,10467,BRONX,Bronx,1000,
DOMINICANA DELI INC,DOMINICANA DELI,1836,NEREID AVE,BRONX,10466,BRONX,Bronx,,
GRAND B DELI GROCERY CORP,1269 BRONX DELI,1269,GRAND CONCOURSE ####,BRONX,10452,BRONX,Bronx,1100,
AL AMEEN BAKERY LLC,AL AMEEN BAKERY,1742,UNIONPORT RD,BRONX,10462,BRONX,Bronx,485,
DIANA MINI MARKET CORP,DIANA MINI MARKET,701,COSTER STREET ####,BRONX,10474,BRONX,Bronx,1200,
SEYMOUR DELI GROCERY CORP,SEYMOUR DELI GROCERY,3438,BOSTON RD,BRONX,10469,BRONX,Bronx,,
BAILEY GOURMET DELI INC,BAILEY GOURMET DELI,3654,BAILEY AVE,BRONX,10463,BRONX,Bronx,1500,
3040 EASTCHESTER FOOD CORP,FINE FARE SUPERMARKET,3040,EASTCHESTER ROAD,BRONX,10469,BRONX,Bronx,,
ARDENT PHARMACY INC,BENJAMINS PHARMACY & SURGICAL,987-989,ALLERTON AVE ####,BRONX,10469,BRONX,Bronx,,
LA GRAND GROCERY CORP,LA GRAND GROCERY,2241,GRAND AVE,BRONX,10453,BRONX,Bronx,1200,
J & E GRAND CONCOURSE RETAIL LLC,FINE FARE SUPERMARKET,2530,GRAND CONCOURSE ####,BRONX,10458,BRONX,Bronx,,
LA ECONOMICA MEAT MARKET INC,LA ECONOMICA MEAT MARKET,1717,UNIVERSITY AVE ####,BRONX,10453,BRONX,Bronx,1200,
GORDO DELI DELIGHT INC,GORDO DELI DELIGHT,5189,BROADWAY,BRONX,10463,BRONX,Bronx,1500,
FAMILY MEXICAN DELI CORP,FAMILY MEXICAN DELI,1865,E TREMONT AVE,BRONX,10460,BRONX,Bronx,1300,
AZTECA DELI LLC,AZTECA DELI,1207,BEACH AVE,BRONX,10472,BRONX,Bronx,600,
BRONX DELI & MINI MARKET INC,BRONX DELI & MINI MARKET,3645,BRUCKNER BLVD,BRONX,10461,BRONX,Bronx,1200,
MR SAM DELI CORP,MR SAM DELI,1950,BRYANT AVE,BRONX,10460,BRONX,Bronx,,
