minute_of_day,entropy,hour,minute
288,0.0,4,48
289,0.0,4,49
290,0.0,4,50
291,0.19143325481419343,4,51
292,0.19143325481419343,4,52
293,0.0,4,53
294,0.19143325481419343,4,54
295,0.3227569588973982,4,55
296,0.19143325481419343,4,56
297,0.0,4,57
298,0.19143325481419343,4,58
299,0.19143325481419343,4,59
300,0.19143325481419343,5,0
301,0.0,5,1
302,0.19143325481419343,5,2
303,0.19143325481419343,5,3
304,0.0,5,4
305,0.0,5,5
306,0.0,5,6
307,0.0,5,7
308,0.0,5,8
309,0.19143325481419343,5,9
310,0.19143325481419343,5,10
311,0.0,5,11
312,0.19143325481419343,5,12
313,0.19143325481419343,5,13
314,0.19143325481419343,5,14
315,0.3227569588973982,5,15
316,0.19143325481419343,5,16
317,0.3227569588973982,5,17
318,0.3227569588973982,5,18
319,0.19143325481419343,5,19
320,0.0,5,20
321,0.19143325481419343,5,21
322,0.19143325481419343,5,22
323,0.0,5,23
324,0.19143325481419343,5,24
325,0.3227569588973982,5,25
326,0.19143325481419343,5,26
327,0.3815804883091629,5,27
328,0.5115779700152473,5,28
329,0.5225593745369408,5,29
330,0.19143325481419343,5,30
331,0.19143325481419343,5,31
332,0.19143325481419343,5,32
333,0.19143325481419343,5,33
334,0.5115779700152473,5,34
335,0.3815804883091629,5,35
336,0.19143325481419343,5,36
337,0.19143325481419343,5,37
338,0.19143325481419343,5,38
339,0.4305518670104394,5,39
340,0.19143325481419343,5,40
341,0.19143325481419343,5,41
342,0.3815804883091629,5,42
343,0.19143325481419343,5,43
344,0.3227569588973982,5,44
345,0.19143325481419343,5,45
346,0.3227569588973982,5,46
347,0.0,5,47
348,0.19143325481419343,5,48
349,0.19143325481419343,5,49
350,0.19143325481419343,5,50
351,0.19143325481419343,5,51
352,0.19143325481419343,5,52
353,0.3815804883091629,5,53
354,0.0,5,54
355,0.0,5,55
356,0.0,5,56
357,0.0,5,57
358,0.0,5,58
359,0.19143325481419343,5,59
360,0.3815804883091629,6,0
361,0.19143325481419343,6,1
362,0.0,6,2
363,0.3227569588973982,6,3
364,0.19143325481419343,6,4
365,0.19143325481419343,6,5
366,0.19143325481419343,6,6
367,0.7085966983474103,6,7
368,0.19143325481419343,6,8
369,0.19143325481419343,6,9
370,0.19143325481419343,6,10
371,0.19143325481419343,6,11
372,0.19143325481419343,6,12
373,0.19143325481419343,6,13
374,0.3227569588973982,6,14
375,0.3815804883091629,6,15
376,0.3227569588973982,6,16
377,0.19143325481419343,6,17
378,0.19143325481419343,6,18
379,0.3815804883091629,6,19
380,0.19143325481419343,6,20
381,0.3815804883091629,6,21
382,0.19143325481419343,6,22
383,0.3815804883091629,6,23
384,0.3227569588973982,6,24
385,0.19143325481419343,6,25
386,0.19143325481419343,6,26
387,0.3815804883091629,6,27
388,0.3815804883091629,6,28
389,0.5115779700152473,6,29
390,0.5225593745369408,6,30
391,0.570401499427012,6,31
392,0.19143325481419343,6,32
393,0.3227569588973982,6,33
