minute_of_day,hour,minute,entropy,n_observations
67,1,7,1.0174051189440556,34
68,1,8,0.8931705524970184,34
69,1,9,1.1578693192298966,34
70,1,10,1.2388954222347044,34
71,1,11,1.2022744664159828,34
72,1,12,1.092725395776657,34
73,1,13,1.092725395776657,34
74,1,14,1.1451363701530526,34
75,1,15,0.8931705524970184,34
76,1,16,1.092725395776657,34
77,1,17,1.0174051189440556,34
78,1,18,1.2388954222347044,34
79,1,19,1.3317743281999124,34
80,1,20,1.254999237609217,34
81,1,21,1.2137556289325473,34
82,1,22,1.2142103567882518,34
83,1,23,1.2137556289325473,34
84,1,24,1.1578693192298966,34
85,1,25,1.2022744664159828,34
86,1,26,1.092725395776657,34
87,1,27,1.0174051189440556,34
88,1,28,1.321606958388347,34
89,1,29,1.0174051189440556,34
90,1,30,0.9112392226370905,34
91,1,31,1.1544861448975354,34
92,1,32,1.2388954222347044,34
93,1,33,1.1400677626718572,34
94,1,34,1.117865189078814,34
95,1,35,1.036839086074006,34
96,1,36,1.1400677626718572,34
97,1,37,1.1400677626718572,34
98,1,38,0.8343470230852538,34
99,1,39,0.8262437571709396,34
100,1,40,1.0927253957766567,34
101,1,41,0.8553529129344397,34
102,1,42,0.7085966983474103,34
103,1,43,0.9297915083157399,34
104,1,44,1.022420703848328,34
105,1,45,0.9112392226370905,34
106,1,46,0.9363790159392477,34
107,1,47,0.6180038597674269,34
108,1,48,0.7870046561900532,34
109,1,49,0.8553529129344397,34
110,1,50,0.9112392226370905,34
111,1,51,0.848765405310932,34
112,1,52,0.9700627520488552,34
113,1,53,1.1578693192298966,34
114,1,54,1.054026074762777,34
115,1,55,0.8262437571709397,34
116,1,56,1.054026074762777,34
117,1,57,0.9297915083157399,34
118,1,58,0.9297915083157399,34
119,1,59,0.9297915083157398,34
120,2,0,0.8931705524970184,34
121,2,1,1.054026074762777,34
122,2,2,1.092725395776657,34
123,2,3,1.054026074762777,34
124,2,4,1.054026074762777,34
125,2,5,1.0174051189440556,34
126,2,6,1.117865189078814,34
127,2,7,1.1544861448975354,34
128,2,8,0.8931705524970184,34
129,2,9,0.9297915083157399,34
130,2,10,1.2388954222347044,34
131,2,11,1.0174051189440556,34
132,2,12,1.133184253783444,34
133,2,13,1.0927253957766567,34
134,2,14,1.1400677626718572,34
135,2,15,1.117865189078814,34
136,2,16,1.011699292771849,34
137,2,17,1.117865189078814,34
138,2,18,1.2022744664159828,34
139,2,19,1.117865189078814,34
140,2,20,0.6990299627722347,34
141,2,21,0.6990299627722347,34
142,2,22,0.7452176541661317,34
143,2,23,0.7452176541661317,34
144,2,24,0.7085966983474103,34
145,2,25,0.6180038597674269,34
146,2,26,0.6180038597674269,34
147,2,27,0.7870046561900532,34
148,2,28,0.6024308020404452,34
149,2,29,0.6180038597674269,34
150,2,30,0.6180038597674269,34
151,2,31,0.6402064333604701,34
152,2,32,0.6180038597674269,34
153,2,33,0.8040411835778964,34
154,2,34,0.8040411835778964,34
155,2,35,0.6990299627722347,34
156,2,36,0.8040411835778964,34
157,2,37,0.570401499427012,34
158,2,38,0.5115779700152473,34
159,2,39,0.6180038597674269,34
160,2,40,0.8262437571709396,34
161,2,41,0.8931705524970184,34
162,2,42,0.8262437571709397,34
163,2,43,0.7452176541661317,34
164,2,44,0.4305518670104394,34
165,2,45,0.5115779700152473,34
166,2,46,0.570401499427012,34
167,2,47,0.5115779700152473,34
168,2,48,0.6990299627722347,34
169,2,49,0.5115779700152473,34
170,2,50,0.5115779700152473,34
171,2,51,0.5115779700152473,34
172,2,52,0.8040411835778964,34
173,2,53,0.4305518670104394,34
174,2,54,0.7452176541661317,34
175,2,55,0.6180038597674269,34
176,2,56,0.19143325481419343,34
177,2,57,0.19143325481419343,34
178,2,58,0.19143325481419343,34
179,2,59,0.19143325481419343,34
180,3,0,0.3227569588973982,34
181,3,1,0.3815804883091629,34
182,3,2,0.19143325481419343,34
183,3,3,0.19143325481419343,34
184,3,4,0.19143325481419343,34
185,3,5,0.3815804883091629,34
186,3,6,0.3815804883091629,34
187,3,7,0.19143325481419343,34
188,3,8,0.3815804883091629,34
189,3,9,0.3815804883091629,34
190,3,10,0.3815804883091629,34
191,3,11,0.19143325481419343,34
192,3,12,0.3227569588973982,34
193,3,13,0.19143325481419343,34
194,3,14,0.19143325481419343,34
195,3,15,0.3227569588973982,34
196,3,16,0.0,34
197,3,17,0.19143325481419343,34
198,3,18,0.0,34
199,3,19,0.0,34
200,3,20,0.0,34
201,3,21,0.0,34
202,3,22,0.19143325481419343,34
203,3,23,0.0,34
204,3,24,0.0,34
205,3,25,0.19143325481419343,34
206,3,26,0.0,34
207,3,27,0.0,34
208,3,28,0.0,34
209,3,29,0.19143325481419343,34
210,3,30,0.0,34
211,3,31,0.19143325481419343,34
212,3,32,0.19143325481419343,34
213,3,33,0.19143325481419343,34
214,3,34,0.19143325481419343,34
215,3,35,0.0,34
216,3,36,0.19143325481419343,34
217,3,37,0.19143325481419343,34
218,3,38,0.3227569588973982,34
219,3,39,0.3815804883091629,34
220,3,40,0.0,34
221,3,41,0.3227569588973982,34
222,3,42,0.19143325481419343,34
223,3,43,0.3227569588973982,34
224,3,44,0.19143325481419343,34
225,3,45,0.0,34
226,3,46,0.0,34
227,3,47,0.0,34
228,3,48,0.0,34
229,3,49,0.0,34
230,3,50,0.19143325481419343,34
231,3,51,0.19143325481419343,34
232,3,52,0.0,34
233,3,53,0.0,34
234,3,54,0.0,34
235,3,55,0.0,34
236,3,56,0.3227569588973982,34
237,3,57,0.19143325481419343,34
238,3,58,0.0,34
239,3,59,0.3227569588973982,34
240,4,0,0.0,34
241,4,1,0.0,34
242,4,2,0.0,34
243,4,3,0.19143325481419343,34
244,4,4,0.19143325481419343,34
245,4,5,0.0,34
246,4,6,0.0,34
247,4,7,0.3815804883091629,34
248,4,8,0.3227569588973982,34
249,4,9,0.19143325481419343,34
250,4,10,0.3227569588973982,34
251,4,11,0.19143325481419343,34
252,4,12,0.0,34
253,4,13,0.4305518670104394,34
254,4,14,0.0,34
255,4,15,0.0,34
256,4,16,0.0,34
257,4,17,0.3227569588973982,34
258,4,18,0.19143325481419343,34
259,4,19,0.0,34
260,4,20,0.0,34
261,4,21,0.5225593745369408,34
262,4,22,0.0,34
263,4,23,0.0,34
264,4,24,0.0,34
265,4,25,0.4305518670104394,34
266,4,26,0.19143325481419343,34
267,4,27,0.0,34
268,4,28,0.0,34
269,4,29,0.0,34
270,4,30,0.0,34
271,4,31,0.19143325481419343,34
272,4,32,0.0,34
273,4,33,0.0,34
274,4,34,0.19143325481419343,34
275,4,35,0.0,34
276,4,36,0.19143325481419343,34
277,4,37,0.3227569588973982,34
278,4,38,0.3815804883091629,34
279,4,39,0.0,34
280,4,40,0.0,34
281,4,41,0.19143325481419343,34
282,4,42,0.3815804883091629,34
283,4,43,0.0,34
284,4,44,0.0,34
285,4,45,0.0,34
286,4,46,0.0,34
287,4,47,0.19143325481419343,34
288,4,48,0.0,34
289,4,49,0.0,34
290,4,50,0.0,34
291,4,51,0.19143325481419343,34
292,4,52,0.19143325481419343,34
293,4,53,0.0,34
294,4,54,0.19143325481419343,34
295,4,55,0.3227569588973982,34
296,4,56,0.19143325481419343,34
297,4,57,0.0,34
298,4,58,0.19143325481419343,34
299,4,59,0.19143325481419343,34
300,5,0,0.19143325481419343,34
301,5,1,0.0,34
302,5,2,0.19143325481419343,34
303,5,3,0.19143325481419343,34
304,5,4,0.0,34
305,5,5,0.0,34
306,5,6,0.0,34
307,5,7,0.0,34
308,5,8,0.0,34
309,5,9,0.19143325481419343,34
310,5,10,0.19143325481419343,34
311,5,11,0.0,34
312,5,12,0.19143325481419343,34
313,5,13,0.19143325481419343,34
314,5,14,0.19143325481419343,34
315,5,15,0.3227569588973982,34
316,5,16,0.19143325481419343,34
317,5,17,0.3227569588973982,34
318,5,18,0.3227569588973982,34
319,5,19,0.19143325481419343,34
320,5,20,0.0,34
321,5,21,0.19143325481419343,34
322,5,22,0.19143325481419343,34
323,5,23,0.0,34
324,5,24,0.19143325481419343,34
325,5,25,0.3227569588973982,34
326,5,26,0.19143325481419343,34
327,5,27,0.3815804883091629,34
328,5,28,0.5115779700152473,34
329,5,29,0.5225593745369408,34
330,5,30,0.19143325481419343,34
331,5,31,0.19143325481419343,34
332,5,32,0.19143325481419343,34
333,5,33,0.19143325481419343,34
334,5,34,0.5115779700152473,34
335,5,35,0.3815804883091629,34
336,5,36,0.19143325481419343,34
337,5,37,0.19143325481419343,34
338,5,38,0.19143325481419343,34
339,5,39,0.4305518670104394,34
340,5,40,0.19143325481419343,34
341,5,41,0.19143325481419343,34
342,5,42,0.3815804883091629,34
343,5,43,0.19143325481419343,34
344,5,44,0.3227569588973982,34
345,5,45,0.19143325481419343,34
346,5,46,0.3227569588973982,34
347,5,47,0.0,34
348,5,48,0.19143325481419343,34
349,5,49,0.19143325481419343,34
350,5,50,0.19143325481419343,34
351,5,51,0.19143325481419343,34
352,5,52,0.19143325481419343,34
353,5,53,0.3815804883091629,34
354,5,54,0.0,34
355,5,55,0.0,34
356,5,56,0.0,34
357,5,57,0.0,34
358,5,58,0.0,34
359,5,59,0.19143325481419343,34
360,6,0,0.3815804883091629,34
361,6,1,0.19143325481419343,34
362,6,2,0.0,34
363,6,3,0.3227569588973982,34
364,6,4,0.19143325481419343,34
365,6,5,0.19143325481419343,34
366,6,6,0.19143325481419343,34
367,6,7,0.7085966983474103,34
368,6,8,0.19143325481419343,34
369,6,9,0.19143325481419343,34
370,6,10,0.19143325481419343,34
371,6,11,0.19143325481419343,34
372,6,12,0.19143325481419343,34
373,6,13,0.19143325481419343,34
374,6,14,0.3227569588973982,34
375,6,15,0.3815804883091629,34
376,6,16,0.3227569588973982,34
377,6,17,0.19143325481419343,34
378,6,18,0.19143325481419343,34
379,6,19,0.3815804883091629,34
380,6,20,0.19143325481419343,34
381,6,21,0.3815804883091629,34
382,6,22,0.19143325481419343,34
